source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,ko,2017-07-30,banking|phone_connectivity,,0.00,18,,해외 송금수수료 10분의 1이라는 슬로건을 걸어놓고 시작하는 카카오뱅크가 해외 재외국민은 개설조차 거의 불가능에 가깝게 해놨네요. 국내 즉 한국 통신사를 통해서만 인증이 가능하니 누가 만들겠습니까. 뇌가 있는지 궁금하네요,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-07-29,housing,,0.00,15,,It's impossible to enter my name to register. Please fix.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-07-29,banking|phone_connectivity,,0.00,22,,Foreigners need not download. According to the FAQ section foreigners can't use this app/bank because we wouldn't be able to receive a verification code on our phones..... I can't wrap my head around this one. We have KOREAN phone numbers because we live in KOREA. It's extra frustrating because a 90,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-07-28,language,,0.00,25,,외국인 이름 은 수락되지 않았습니다. Plus NO English? Seriously? This is 2017 allow foreigners and those with non Korean names access.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2026-01-01,,,0.00,0,,"외국인 등록 안돼요, 삭제 했어요",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2026-01-01,,,1.00,1,,"Det er en fantastisk bankapp. De relaterede apps er også fantastiske, med kortaftaler og andre funktioner. Den er nem at bruge og nem at kommunikere med.",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2025-09-30,,,0.00,1,,ba app update,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2026-03-07,,,0.00,0,,fix the constant crash pls,https://play.google.com/store/apps/details?id=viva.republica.toss
appstore,korea,en,2026-03-02,,,0.00,0,,I have money to pay for my bills but I can't use it. They checked my ID last week . This week also checking again.,https://play.google.com/store/apps/details?id=viva.republica.toss
appstore,korea,en,2026-02-23,,,0.00,5,,"The app was working fine, but now it requires verification with an ID, but whenever I try take a picture through the app. The app freezes leaving me unable to verify and leaving restriction access to my account. The chat tech and customer help center do not use English even though ChatGPT could easi",https://play.google.com/store/apps/details?id=viva.republica.toss
appstore,korea,en,2026-02-19,banking,,0.00,0,,"Recently launched in the Australian market, and I had high hopes after hearing great things about their service in Korea. But why on earth would you put a Temu ad right next to my private bank account information? It destroys any sense of security. Such a let down. Pathetic!",https://play.google.com/store/apps/details?id=viva.republica.toss
appstore,korea,en,2026-02-09,banking,,0.00,2,,"This app is extremely unreliable. I encountered multiple errors while trying to scan and transfer money via TMoney, and the transaction process completely failed. What is worse, the money was deducted but never properly transferred.",https://play.google.com/store/apps/details?id=viva.republica.toss
